date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
2026-07-18,ABOT,969.88,951.11,969.88,950,1304,821,93.11B,97.9M,21.17M,30.9K,21.63,4.21,84.85,10.97,2.76,11.21,0.63
2026-07-18,ACPL,227,226.43,235,225.01,325.01,205,31.12B,137.43M,13.74M,80.95K,10,3.75,20.97,6.74,1.3,10.8,0.78
2026-07-18,ADAMS,69.48,67,72.95,66.63,90.98,57.25,1.16B,17.29M,3.46M,12.85K,20,5.97,9.29,1.54,0.23,8.51,-6.16
2026-07-18,AGIL,155.64,155.6,160,153.25,198,121.2,5.6B,36M,21.6M,6.71K,60,1.12,24.75,5.37,0.83,6.29,0.48
2026-07-18,AGP,198.75,195.87,199.99,194.12,258.67,163,54.84B,280M,84M,294.86K,30,4.08,13.41,13.14,3.36,14.61,0.26
2026-07-18,AGTL,387,376.82,389.9,371.01,497,288,21.84B,57.96M,3.67M,14.38K,6.34,0,35.36,8.63,1.95,10.66,1.33
2026-07-18,AHTM,94.98,91.1,97.58,89,134.15,60,771.76M,8.47M,1.27M,637.6,15,1.65,12.65,2.07,0.32,7.2,-2.47
2026-07-18,AIRLINK,143.7,139.53,144.99,138.99,199,118,55.15B,395.27M,118.58M,867.48K,30,6.45,14.02,6.35,3.01,9.95,
2026-07-18,AKGL,0,49.95,0,0,68.75,0,499.5M,10M,1M,328.5,10,,,,,,
2026-07-18,ALNRS,134.86,135.18,136,132.54,144,82,2.77B,20.47M,4.09M,2.17K,20,2.96,13.88,1.67,0.38,9.74,3.92
2026-07-18,ANL,10.17,10.03,10.25,10,13.7,8.01,4.87B,485.41M,242.7M,371.94K,50,0,1.6,1.96,0.32,6.26,0.39
2026-07-18,ANTM,59,52.56,59,51.32,66.38,20.81,507.73M,9.66M,1.45M,16.99K,15,,,,,,
2026-07-18,ARCTM,38.89,38.36,39,36.51,46.98,24.14,505.39M,13.17M,2.7M,64.02K,20.52,,,,,,
2026-07-18,ARPL,381,379.99,381,377,535,325,13.13B,34.56M,8.64M,6.5K,25,7.89,38.21,4.75,2.71,9.95,4.74
2026-07-18,ASHT,33.5,32,33.5,31.41,70,13.64,1.49B,46.57M,2.33M,3.62K,5,,,,,,
2026-07-18,ASL,12.6,12.64,12.87,12.42,15.94,8.51,11.77B,930.78M,279.24M,2.85M,30,0,0.07,0.28,1.18,181.61,-13.43
2026-07-18,ASTM,25.83,24.23,27.51,23.71,41.94,12,367.74M,15.18M,2.28M,109.07K,15,,,,,,
2026-07-18,ATBA,213.99,210.03,213.99,210,311.98,169.02,7.35B,35.02M,8.75M,11.53K,25,0,2.24,0.23,0.93,82.63,463.54
2026-07-18,ATRL,897,900.12,923,895,1005,597.1,95.97B,106.62M,42.65M,701.08K,40,0.83,180.56,6.62,0.56,4.99,-0.01
2026-07-18,AVN,33.43,33.12,33.65,33.04,54.3,26.5,14.23B,429.67M,150.38M,378.36K,35,3.02,1.02,2.52,0.95,32.46,-12.03
2026-07-18,AWTX,1707.25,1552.05,1707.25,1707.25,1707.26,1270,1.24B,800K,4.5K,0,0.56,0,9.84,0.15,0.99,156.58,-19.42
2026-07-18,BAFS,381,418.56,418.56,381,474.51,64,3.96B,9.45M,472.5K,3.58K,5,0.48,60.89,8.1,1.93,6.87,0.04
2026-07-18,BATA,974.85,960.17,974.85,960,1750,875,7.26B,7.56M,1.79M,932.2,23.67,0,-368,-15.26,2.4,-2.61,0.12
2026-07-18,BBFL,43.89,42.99,44.1,42.5,57.35,34,12.85B,298.91M,115.24M,781.37K,38.55,,,,,,
2026-07-18,BCL,73.01,72,74.75,71,130.44,56.02,826.02M,11.47M,6.31M,17.06K,55,0,-1.36,-1.1,2.59,-53.11,4.26
2026-07-18,BECO,5.28,5.2,5.28,5.18,73.6,3.9,6.5B,1.25B,437.37M,2.95M,35,,,,,,
